Store,Dept,Date,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday,Type,Size
10.0,42.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,False,B,126512.0
10.0,44.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,False,B,126512.0
10.0,46.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,Monday is sunny,7.382,507,B,126512.0
10.0,48.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,False,B,126512.0
10.0,49.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,False,B,126512.0
10.0,50.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,507,B,126512.0
10.0,52.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,False, ,126512.0
10.0,54.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,False,B,126512.0
10.0,55.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,False,B,126512.0
10.0,56.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,False,B,126512.0
10.0,58.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,False,B,126512.0
10.0,59.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,False,B,126512.0
10.0,60.0,2012-05-04,77.02,4.058,18275.88,,21.31,,2722.29,131.136,7.382,False,B,126512.0
10.0,67.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,False,B,126512.0
10.0,71.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,False,B,126512.0
10.0,72.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,False,B,126512.0
10.0,74.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,False,B,126512.0
10.0,79.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,False,B,126512.0
10.0,80.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,False,B,126512.0
10.0,81.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,False,B,126512.0
10.0,82.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,False,B,126512.0
10.0,83.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,False,B,126512.0
10.0,85.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,Monday is sunny,7.382,False,B,126512.0
10.0,87.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,False,B,126512.0
10.0,90.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,False,B,126512.0
10.0,91.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,507,B,126512.0
10.0,92.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,Monday is sunny,7.382,507,B,126512.0
10.0,93.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,False, ,126512.0
10.0,94.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,,7.382,507, ,126512.0
10.0,95.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,False,B,126512.0
10.0,96.0,2012-05-04,77.02,4.058,18275.88,,21.31,,2722.29,131.136,7.382,507,B,126512.0
10.0,97.0,2012-05-04,77.02,4.058,18275.88,,21.31,4872.45,2722.29,131.136,7.382,False,B,126512.0
10.0,1.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,2.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,Monday is sunny,7.382,False,B,126512.0
10.0,3.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,507,B,126512.0
10.0,4.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,507,B,126512.0
10.0,5.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,6.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,7.0,2012-05-11,76.03,4.186,,,105.67,4736.02,2747.36,131.1453333,7.382,507,B,126512.0
10.0,8.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,9.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False, ,126512.0
10.0,10.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,11.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,12.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,13.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,14.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,16.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,Monday is sunny,7.382,False,B,126512.0
10.0,17.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,Monday is sunny,7.382,False,B,126512.0
10.0,18.0,2012-05-11,76.03,,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,19.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,20.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,21.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,22.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,23.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,24.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,25.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,26.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,Monday is sunny,7.382,False,B,126512.0
10.0,27.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,28.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,29.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,507,B,126512.0
10.0,30.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,31.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,32.0,2012-05-11,76.03,4.186,10837.25,,105.67,,2747.36,131.1453333,7.382,False,B,126512.0
10.0,33.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,34.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,35.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,36.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,
10.0,37.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,,False,B,126512.0
10.0,38.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,40.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,Monday is sunny,7.382,False,B,126512.0
10.0,41.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,Monday is sunny,7.382,False,B,126512.0
10.0,42.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,44.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,
10.0,46.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,48.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,Monday is sunny,7.382,507,B,126512.0
10.0,49.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,50.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,52.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,54.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,55.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,56.0,,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,507,B,126512.0
10.0,58.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,59.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,507,B,126512.0
10.0,60.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,67.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,71.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,72.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,Monday is sunny,7.382,False,B,126512.0
10.0,74.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,79.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False, ,126512.0
10.0,80.0,2012-05-11,,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,81.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,82.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,507,B,126512.0
10.0,83.0,2012-05-11,76.03,,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False, ,126512.0
10.0,85.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,87.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,90.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,91.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,92.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,507,B,126512.0
10.0,93.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,94.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,95.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,97.0,2012-05-11,76.03,4.186,10837.25,,105.67,4736.02,2747.36,131.1453333,7.382,False,B,126512.0
10.0,1.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,2.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,3.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,Monday is sunny,7.382,False,B,126512.0
10.0,4.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,5.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,6.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,7.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,507,B,-76.0
10.0,8.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False, ,126512.0
10.0,9.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False, ,126512.0
10.0,10.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,11.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,12.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,Monday is sunny,7.382,False,B,126512.0
10.0,13.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,14.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,16.0,,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,17.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,18.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,507,B,126512.0
10.0,19.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,20.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,21.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,507,B,126512.0
10.0,22.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,23.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,24.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,25.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,
10.0,26.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,27.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,-76.0
10.0,28.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,29.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,30.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,31.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False, ,126512.0
10.0,32.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,33.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,34.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,507,B,126512.0
10.0,35.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,36.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,37.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,38.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,40.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,41.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,42.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,44.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,46.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,48.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,,131.0983226,7.382,False,B,126512.0
10.0,49.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False, ,126512.0
10.0,50.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,52.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,54.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,55.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,56.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,59.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,60.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False, ,126512.0
10.0,67.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,71.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,72.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,74.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,79.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False, ,126512.0
10.0,80.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,81.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,507,B,126512.0
10.0,82.0,2012-05-18,85.19,4.308,9630.62,,,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,83.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False, ,126512.0
10.0,85.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,87.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False, ,126512.0
10.0,90.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,91.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,92.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,-76.0
10.0,93.0,2012-05-18,,4.308,9630.62,,9.46,972.85,2986.24,Monday is sunny,7.382,False,B,126512.0
10.0,95.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,96.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,97.0,2012-05-18,85.19,4.308,9630.62,,9.46,972.85,2986.24,131.0983226,7.382,False,B,126512.0
10.0,1.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,2.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,3.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,-76.0
10.0,4.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,5.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,6.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,7.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,507, ,126512.0
10.0,8.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,9.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,10.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,11.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,12.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,,B,-76.0
10.0,13.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,,B,126512.0
10.0,14.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False, ,126512.0
10.0,16.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,17.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,,B,126512.0
10.0,19.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,20.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,-76.0
10.0,21.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,22.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,23.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,24.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,Monday is sunny,7.382,False,B,-76.0
10.0,25.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
,26.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,27.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,28.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,29.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,30.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,31.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,32.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,33.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,Monday is sunny,7.382,False,B,126512.0
10.0,34.0,2012-05-25,86.03,4.127,7786.58,,,1701.28,3214.55,131.0287742,7.382,False, ,126512.0
10.0,35.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,37.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,38.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,40.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,41.0,2012-05-25,86.03,4.127,7786.58,,712.2,,3214.55,131.0287742,7.382,False,B,126512.0
10.0,42.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,44.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,507,B,126512.0
10.0,46.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,Monday is sunny,7.382,False,B,126512.0
10.0,47.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,48.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,Monday is sunny,7.382,False,B,126512.0
10.0,49.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,50.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,52.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,54.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,55.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,56.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,58.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,-76.0
10.0,59.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
10.0,60.0,2012-05-25,86.03,4.127,,,712.2,1701.28,3214.55,131.0287742,7.382,False,B,-76.0
10.0,67.0,2012-05-25,86.03,4.127,7786.58,,712.2,1701.28,3214.55,131.0287742,7.382,False,,126512.0
10.0,71.0,2012-05-25,86.03,4.127,7786.58,,,1701.28,3214.55,131.0287742,7.382,False,B,126512.0
